港澳频道,#genre#
中视新闻,http://livetv.skycf.eu.org/live.m3u8?c=6
中天新闻1,http://livetv.skycf.eu.org/live.m3u8?c=7
中天新闻2,https://45.152.67.168/cctv-17
东森新闻1,http://livetv.skycf.eu.org/live.m3u8?c=9
东森新闻2,https://45.152.67.168/cctv-18
镜新闻,http://livetv.skycf.eu.org/live.m3u8?c=10
民视新闻台,http://livetv.skycf.eu.org/live.m3u8?c=11
三立NEWS+,http://livetv.skycf.eu.org/live.m3u8?c=12
华视新闻,http://livetv.skycf.eu.org/live.m3u8?c=13
台视新闻,http://livetv.skycf.eu.org/live.m3u8?c=4
中天亚洲,http://livetv.skycf.eu.org/live.m3u8?c=3
公视,http://livetv.skycf.eu.org/live.m3u8?c=8
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来日本台,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育台,rtmp://f13h.mine.nu/sat/tv721
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
台视,rtmp://220.130.201.73/sat/tv071
中视,rtmp://220.130.201.73/sat/tv091
华视,rtmp://220.130.201.73/sat/tv111
民视,rtmp://220.130.201.73/sat/tv051
东森超视,rtmp://220.130.201.73/sat/tv331
纬来育乐,rtmp://220.130.201.73/sat/tv701
纬来体育台,rtmp://220.130.201.73/sat/tv721
MoMo综合,rtmp://220.130.201.73/sat/tv761
纬来日本台,rtmp://220.130.201.73/sat/tv771
ELEVEN体育1,rtmp://220.130.201.73/sat/tv731
ELEVEN体育2,rtmp://220.130.201.73/sat/tv741
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
TVBS,http://61.221.215.25:8800/hls/9/index.m3u8
中华一番,http://61.221.215.25:8800/hls/40/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
SPOTIFY MUSIC,http://61.221.215.25:8800/hls/1/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第1,http://61.221.215.25:8800/hls/55/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
Dali_TV(大立),http://www.dalitv.com.tw:4568/live/dali/index.m3u8
HOY77,https://45.152.67.168/cctv-9
HOY78,https://45.152.67.168/cctv-10
无线财经台,https://45.152.67.168/cctv-11
功夫台,https://45.152.67.168/cctv-20





央视频道,#genre#
CCTV1,http://sweetown.fun:4000/udp/239.3.1.129:8008
CCTV2,http://sweetown.fun:4000/udp/239.3.1.60:8084
CCTV3,http://sweetown.fun:4000/udp/239.3.1.172:8001
CCTV4,http://sweetown.fun:4000/udp/239.3.1.105:8092
CCTV5,http://sweetown.fun:4000/udp/239.3.1.173:8001
CCTV5+,http://sweetown.fun:4000/udp/239.3.1.130:8004
CCTV6,http://sweetown.fun:4000/udp/239.3.1.174:8001
CCTV7,http://sweetown.fun:4000/udp/239.3.1.61:8104
CCTV8,http://sweetown.fun:4000/udp/239.3.1.175:8001
CCTV9,http://sweetown.fun:4000/udp/239.3.1.62:8112
CCTV10,http://sweetown.fun:4000/udp/239.3.1.63:8116
CCTV11,http://sweetown.fun:4000/udp/239.3.1.152:8120
CCTV12,http://sweetown.fun:4000/udp/239.3.1.64:8124
CCTV13,http://sweetown.fun:4000/udp/239.3.1.124:8128
CCTV14,http://sweetown.fun:4000/udp/239.3.1.65:8132
CCTV15,http://sweetown.fun:4000/udp/239.3.1.153:8136
CCTV16,http://sweetown.fun:4000/udp/239.3.1.184:8001
CCTV17,http://sweetown.fun:4000/udp/239.3.1.151:8144

CCTV1,http://www.191919.xyz:8888/udp/238.1.78.166:7200
CCTV2,http://www.191919.xyz:8888/udp/238.1.78.235:7752
CCTV3,http://www.191919.xyz:8888/udp/238.1.78.170:7232
CCTV4,http://www.191919.xyz:8888/udp/238.1.78.236:7760
CCTV5,http://www.191919.xyz:8888/udp/238.1.78.171:7240
CCTV5+,http://www.191919.xyz:8888/udp/238.1.78.237:7768
CCTV5+,http://www.191919.xyz:8888/udp/238.1.81.30:8116
CCTV6,http://www.191919.xyz:8888/udp/238.1.78.172:7248
CCTV7,http://www.191919.xyz:8888/udp/238.1.78.239:7784
CCTV8,http://www.191919.xyz:8888/udp/238.1.78.173:7256
CCTV9,http://www.191919.xyz:8888/udp/238.1.78.240:7792
CCTV10,http://www.191919.xyz:8888/udp/238.1.78.241:7800
CCTV11,http://www.191919.xyz:8888/udp/238.1.78.206:7502
CCTV12,http://www.191919.xyz:8888/udp/238.1.78.242:7808
CCTV13,http://www.191919.xyz:8888/udp/238.1.79.35:4392
CCTV14,http://www.191919.xyz:8888/udp/238.1.78.243:7816
CCTV15,http://www.191919.xyz:8888/udp/238.1.78.222:7648
CCTV16,http://www.191919.xyz:8888/udp/238.1.79.10:4192
CCTV17,http://www.191919.xyz:8888/udp/238.1.78.178:7296

CCTV1,http://www.yao87.com:4022/udp/239.76.246.151:1234
CCTV2,http://www.yao87.com:4022/udp/239.76.246.152:1234
CCTV3,http://www.yao87.com:4022/udp/239.76.246.153:1234
CCTV4,http://www.yao87.com:4022/udp/239.76.246.154:1234
CCTV5,http://www.yao87.com:4022/udp/239.76.246.155:1234
CCTV5+,http://www.yao87.com:4022/udp/239.76.247.215:1234
CCTV6,http://www.yao87.com:4022/udp/239.76.246.156:1234
CCTV7,http://www.yao87.com:4022/udp/239.76.246.157:1234
CCTV8,http://www.yao87.com:4022/udp/239.76.246.158:1234
CCTV9,http://www.yao87.com:4022/udp/239.76.246.159:1234
CCTV10,http://www.yao87.com:4022/udp/239.76.246.160:1234
CCTV11,http://www.yao87.com:4022/udp/239.76.245.251:1234
CCTV12,http://www.yao87.com:4022/udp/239.76.246.162:1234
CCTV13,http://www.yao87.com:4022/udp/239.76.246.93:1234
CCTV14,http://www.yao87.com:4022/udp/239.76.246.164:1234
CCTV15,http://www.yao87.com:4022/udp/239.76.245.252:1234
CCTV16,http://www.yao87.com:4022/udp/239.76.246.98:1234
CCTV17,http://www.yao87.com:4022/udp/239.76.245.238:1234
CCTV4K,http://pwd.unnas.top:4000/rtp/239.253.93.134:6631$河北联通组播

CCTV1,http://www.baopiqi.top:4022/udp/239.45.3.145:5140
CCTV2,http://www.baopiqi.top:4022/udp/239.45.0.1:5140
CCTV3,http://www.baopiqi.top:4022/udp/239.45.1.68:5140
CCTV4,http://www.baopiqi.top:4022/udp/239.45.0.2:5140
CCTV5,http://www.baopiqi.top:4022/udp/239.45.1.69:5140
CCTV5+,http://www.baopiqi.top:4022/udp/239.45.0.34:5140
CCTV6,http://www.baopiqi.top:4022/udp/239.45.1.70:5140
CCTV7,http://www.baopiqi.top:4022/udp/239.45.3.56:5140
CCTV8,http://www.baopiqi.top:4022/udp/239.45.1.71:5140
CCTV9,http://www.baopiqi.top:4022/udp/239.45.3.4:5140
CCTV10,http://www.baopiqi.top:4022/udp/239.45.3.8:5140
CCTV11,http://www.baopiqi.top:4022/udp/239.45.0.18:5140
CCTV12,http://www.baopiqi.top:4022/udp/239.45.3.10:5140
CCTV13,http://www.baopiqi.top:4022/udp/239.45.0.19:5140
CCTV14,http://www.baopiqi.top:4022/udp/239.45.3.23:5140
CCTV15,http://www.baopiqi.top:4022/udp/239.45.0.20:5140
CCTV16,http://www.baopiqi.top:4022/udp/239.45.0.10:5140
CCTV16 4K,http://www.baopiqi.top:4022/udp/239.45.0.12:5140
CCTV17,http://www.baopiqi.top:4022/udp/239.45.3.52:5140
CETV1,http://www.baopiqi.top:4022/udp/239.45.1.125:5140
CETV4,http://www.baopiqi.top:4022/udp/239.45.0.21:5140

CCTV1,http://mail.long365.net:4000/udp/225.1.4.73:1102
CCTV2,http://mail.long365.net:4000/udp/225.1.4.74:1103
CCTV3,http://mail.long365.net:4000/udp/225.1.4.158:1194
CCTV4,http://mail.long365.net:4000/udp/225.1.5.30:1333
CCTV5,http://mail.long365.net:4000/udp/225.1.4.159:1195
CCTV6,http://mail.long365.net:4000/udp/225.1.4.160:1196
CCTV7,http://mail.long365.net:4000/udp/225.1.4.76:1105
CCTV8,http://mail.long365.net:4000/udp/225.1.4.161:1197
CCTV9,http://mail.long365.net:4000/udp/225.1.4.77:1106
CCTV11,http://mail.long365.net:4000/udp/225.1.4.215:1268
CCTV12,http://mail.long365.net:4000/udp/225.1.4.79:1108
CCTV13,http://mail.long365.net:4000/udp/225.1.4.113:1293
CCTV14,http://mail.long365.net:4000/udp/225.1.4.80:1109
CCTV15,http://mail.long365.net:4000/udp/225.1.4.216:1269
CCTV17,http://mail.long365.net:4000/udp/225.1.4.226:2506
CCTV5+,http://mail.long365.net:4000/udp/225.1.4.75:1104

卫视频道,#genre#
浙江卫视,http://sweetown.fun:4000/udp/239.3.1.137:8036
北京卫视,http://sweetown.fun:4000/udp/239.3.1.241:8000
湖南卫视,http://sweetown.fun:4000/udp/239.3.1.132:8012
江苏卫视,http://sweetown.fun:4000/udp/239.3.1.135:8028
东方卫视,http://sweetown.fun:4000/udp/239.3.1.136:8032
湖北卫视,http://sweetown.fun:4000/udp/239.3.1.138:8044
天津卫视,http://sweetown.fun:4000/udp/239.3.1.141:1234
山东卫视,http://sweetown.fun:4000/udp/239.3.1.209:8052
辽宁卫视,http://sweetown.fun:4000/udp/239.3.1.210:8056
安徽卫视,http://sweetown.fun:4000/udp/239.3.1.211:8064
贵州卫视,http://sweetown.fun:4000/udp/239.3.1.149:8076
东南卫视,http://sweetown.fun:4000/udp/239.3.1.156:8148
重庆卫视,http://sweetown.fun:4000/udp/239.3.1.122:8160
江西卫视,http://sweetown.fun:4000/udp/239.3.1.123:8164
广东卫视,http://sweetown.fun:4000/udp/239.3.1.142:8048
河北卫视,http://sweetown.fun:4000/udp/239.3.1.148:8072
深圳卫视,http://sweetown.fun:4000/udp/239.3.1.134:8020
吉林卫视,http://sweetown.fun:4000/udp/239.3.1.240:8172
黑龙江卫视,http://sweetown.fun:4000/udp/239.3.1.133:8016


浙江卫视,http://www.191919.xyz:8888/udp/238.1.78.164:7184
北京卫视,http://www.191919.xyz:8888/udp/238.1.78.162:7168
东方卫视,http://www.191919.xyz:8888/udp/238.1.78.163:7176
江苏卫视,http://www.191919.xyz:8888/udp/238.1.78.165:7192
东南卫视,http://www.191919.xyz:8888/udp/238.1.78.22:6104
安徽卫视,http://www.191919.xyz:8888/udp/238.1.78.150:7072
甘肃卫视,http://www.191919.xyz:8888/udp/238.1.79.36:4400
广东卫视,http://www.191919.xyz:8888/udp/238.1.78.161:7160
贵州卫视,http://www.191919.xyz:8888/udp/238.1.78.244:7824
海南卫视,http://www.191919.xyz:8888/udp/238.1.79.49:4504
河北卫视,http://www.191919.xyz:8888/udp/238.1.78.245:7832
河南卫视,http://www.191919.xyz:8888/udp/238.1.79.65:4632
黑龙江卫视,http://www.191919.xyz:8888/udp/238.1.78.159:7144
湖北卫视,http://www.191919.xyz:8888/udp/238.1.78.168:7216
湖南卫视,http://www.191919.xyz:8888/udp/238.1.78.160:7152
吉林卫视,http://www.191919.xyz:8888/udp/238.1.79.48:4496
江西卫视,http://www.191919.xyz:8888/udp/238.1.78.26:6136
辽宁卫视,http://www.191919.xyz:8888/udp/238.1.78.21:6096
山东卫视,http://www.191919.xyz:8888/udp/238.1.78.169:7224
深圳卫视,http://www.191919.xyz:8888/udp/238.1.78.156:7120
四川卫视,http://www.191919.xyz:8888/udp/238.1.78.30:6168
天津卫视,http://www.191919.xyz:8888/udp/238.1.78.20:6088
重庆卫视,http://www.191919.xyz:8888/udp/238.1.78.31:6176
陕西卫视,http://www.191919.xyz:8888/udp/238.1.81.9:8032
广西卫视,http://www.191919.xyz:8888/udp/238.1.81.8:8028
云南卫视,http://www.191919.xyz:8888/udp/238.1.81.10:8036


广东卫视,http://www.yao87.com:4022/udp/239.76.245.189:1234
东南卫视,http://www.yao87.com:4022/udp/239.76.245.190:1234
安徽卫视,http://www.yao87.com:4022/udp/239.76.245.196:1234
湖南卫视,http://www.yao87.com:4022/udp/239.76.246.101:1234
辽宁卫视,http://www.yao87.com:4022/udp/239.76.245.197:1234
江西卫视,http://www.yao87.com:4022/udp/239.76.245.225:1234
河北卫视,http://www.yao87.com:4022/udp/239.76.245.199:1234
贵州卫视,http://www.yao87.com:4022/udp/239.76.245.198:1234
江苏卫视,http://www.yao87.com:4022/udp/239.76.246.181:1234
东方卫视,http://www.yao87.com:4022/udp/239.76.246.186:1234
浙江卫视,http://www.yao87.com:4022/udp/239.76.246.182:1234
北京卫视,http://www.yao87.com:4022/udp/239.76.246.184:1234
天津卫视,http://www.yao87.com:4022/udp/239.76.246.185:1234
深圳卫视,http://www.yao87.com:4022/udp/239.76.246.188:1234
湖北卫视,http://www.yao87.com:4022/udp/239.76.246.193:1234
山东卫视,http://www.yao87.com:4022/udp/239.76.246.195:1234
黑龙江卫视,http://www.yao87.com:4022/udp/239.76.246.200:1234
吉林卫视,http://www.yao87.com:4022/udp/239.76.246.201:1234
河南卫视,http://www.yao87.com:4022/udp/239.76.246.202:1234
海南卫视,http://www.yao87.com:4022/udp/239.76.246.203:1234
四川卫视,http://www.yao87.com:4022/udp/239.76.246.91:1234
重庆卫视,http://www.yao87.com:4022/udp/239.76.246.92:1234
甘肃卫视,http://www.yao87.com:4022/udp/239.76.246.94:1234
广西卫视,http://www.yao87.com:4022/udp/239.76.247.54:1234
云南卫视,http://www.yao87.com:4022/udp/239.76.247.60:1234
陕西卫视,http://www.yao87.com:4022/udp/239.76.247.76:1234
青海卫视,http://www.yao87.com:4022/udp/239.76.247.132:1234

浙江卫视,http://www.baopiqi.top:4022/udp/239.45.3.178:5140
广东卫视,http://www.baopiqi.top:4022/udp/239.45.3.230:5140
安徽卫视,http://www.baopiqi.top:4022/udp/239.45.1.120:5140
北京卫视,http://www.baopiqi.top:4022/udp/239.45.3.229:5140
湖南卫视,http://www.baopiqi.top:4022/udp/239.45.3.228:5140
东南卫视,http://www.baopiqi.top:4022/udp/239.45.1.121:5140
甘肃卫视,http://www.baopiqi.top:4022/udp/239.45.0.15:5140
广西卫视,http://www.baopiqi.top:4022/udp/239.45.0.5:5140
贵州卫视,http://www.baopiqi.top:4022/udp/239.45.1.80:5140
海南卫视,http://www.baopiqi.top:4022/udp/239.45.1.81:5140
河北卫视,http://www.baopiqi.top:4022/udp/239.45.1.44:5140
河南卫视,http://www.baopiqi.top:4022/udp/239.45.0.3:5140
黑龙江卫视,http://www.baopiqi.top:4022/udp/239.45.3.232:5140
湖北卫视,http://www.baopiqi.top:4022/udp/239.45.3.239:5140
吉林卫视,http://www.baopiqi.top:4022/udp/239.45.0.6:5140
江苏卫视,http://www.baopiqi.top:4022/udp/239.45.3.177:5140
江西卫视,http://www.baopiqi.top:4022/udp/239.45.1.122:5140
辽宁卫视,http://www.baopiqi.top:4022/udp/239.45.1.123:5140
山东卫视,http://www.baopiqi.top:4022/udp/239.45.3.238:5140
深圳卫视,http://www.baopiqi.top:4022/udp/239.45.3.231:5140
四川卫视,http://www.baopiqi.top:4022/udp/239.45.1.83:5140
天津卫视,http://www.baopiqi.top:4022/udp/239.45.1.124:5140
云南卫视,http://www.baopiqi.top:4022/udp/239.45.0.4:5140
重庆卫视,http://www.baopiqi.top:4022/udp/239.45.1.84:5140
兵团卫视,http://www.baopiqi.top:4022/udp/239.45.1.117:5140
内蒙古卫视,http://www.baopiqi.top:4022/udp/239.45.1.238:5140
宁夏卫视,http://www.baopiqi.top:4022/udp/239.45.1.213:5140
青海卫视,http://www.baopiqi.top:4022/udp/239.45.1.230:5140
三沙卫视,http://www.baopiqi.top:4022/udp/239.45.1.82:5140
陕西卫视,http://www.baopiqi.top:4022/udp/239.45.1.232:5140
西藏卫视,http://www.baopiqi.top:4022/udp/239.45.1.231:5140
新疆卫视,http://www.baopiqi.top:4022/udp/239.45.1.116:5140




其他频道,#genre#
电视指南,http://www.191919.xyz:8888/udp/238.1.79.53:4560
央视精品,http://www.191919.xyz:8888/udp/238.1.79.54:4568
女性时尚,http://www.191919.xyz:8888/udp/238.1.79.55:4576
兵器科技,http://www.191919.xyz:8888/udp/238.1.79.56:4584
风云足球,http://www.191919.xyz:8888/udp/238.1.79.57:4592
高尔夫网球,http://www.191919.xyz:8888/udp/238.1.79.58:4600
央视台球,http://www.191919.xyz:8888/udp/238.1.79.59:4608
世界地理,http://www.191919.xyz:8888/udp/238.1.79.60:4616
怀旧剧场,http://www.191919.xyz:8888/udp/238.1.79.61:4624
风云剧场,http://www.191919.xyz:8888/udp/238.1.79.62:4632
第一剧场,http://www.191919.xyz:8888/udp/238.1.79.63:4640
风云音乐,http://www.191919.xyz:8888/udp/238.1.79.64:4648

湖北频道,#genre#
湖北卫视,http://gd.ikhs.cn:8880/rtp/239.254.96.115:8664
湖北公共新闻,http://gd.ikhs.cn:8880/rtp/239.69.1.40:9880
湖北经视,http://gd.ikhs.cn:8880/rtp/239.69.1.41:9886
湖北综合,http://gd.ikhs.cn:8880/rtp/239.69.1.42:9892
湖北垄上,http://gd.ikhs.cn:8880/rtp/239.69.1.43:9898
湖北影视,http://gd.ikhs.cn:8880/rtp/239.69.1.204:10866
湖北生活,http://gd.ikhs.cn:8880/rtp/239.69.1.205:10872
